[2024-03-16T02:51:55.651+0000] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: play_with_airflow_connections_and_hooks.get_data scheduled__2024-03-15T00:00:00+00:00 [queued]>
[2024-03-16T02:51:55.659+0000] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: play_with_airflow_connections_and_hooks.get_data scheduled__2024-03-15T00:00:00+00:00 [queued]>
[2024-03-16T02:51:55.660+0000] {taskinstance.py:2171} INFO - Starting attempt 1 of 1
[2024-03-16T02:51:55.689+0000] {taskinstance.py:2192} INFO - Executing <Task(PythonOperator): get_data> on 2024-03-15 00:00:00+00:00
[2024-03-16T02:51:55.698+0000] {standard_task_runner.py:60} INFO - Started process 196 to run task
[2024-03-16T02:51:55.705+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'play_with_***_connections_and_hooks', 'get_data', 'scheduled__2024-03-15T00:00:00+00:00', '--job-id', '436', '--raw', '--subdir', 'DAGS_FOLDER/play_with_***_connections_and_hooks.py', '--cfg-path', '/tmp/tmpi84108zz']
[2024-03-16T02:51:55.714+0000] {standard_task_runner.py:88} INFO - Job 436: Subtask get_data
[2024-03-16T02:51:56.790+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_statio_sys_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-16T02:51:56.790+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_statio_user_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-16T02:51:56.791+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_all_indexes', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-16T02:51:56.791+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_sys_indexes', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-16T02:51:56.791+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_user_indexes', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-16T02:51:56.793+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_statio_all_indexes', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-16T02:51:56.794+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_statio_sys_indexes', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-16T02:51:56.794+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_statio_user_indexes', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-16T02:51:56.794+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_statio_sys_sequences', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-16T02:51:56.795+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_statio_user_sequences', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
