[2024-02-10T03:23:13.897+0000] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: play_with_airflow_connections_and_hooks.get_data scheduled__2024-02-09T00:00:00+00:00 [queued]>
[2024-02-10T03:23:13.915+0000] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: play_with_airflow_connections_and_hooks.get_data scheduled__2024-02-09T00:00:00+00:00 [queued]>
[2024-02-10T03:23:13.915+0000] {taskinstance.py:2171} INFO - Starting attempt 2 of 2
[2024-02-10T03:23:13.935+0000] {taskinstance.py:2192} INFO - Executing <Task(PythonOperator): get_data> on 2024-02-09 00:00:00+00:00
[2024-02-10T03:23:13.942+0000] {standard_task_runner.py:60} INFO - Started process 693 to run task
[2024-02-10T03:23:13.946+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'play_with_***_connections_and_hooks', 'get_data', 'scheduled__2024-02-09T00:00:00+00:00', '--job-id', '228', '--raw', '--subdir', 'DAGS_FOLDER/play_with_***_connections_and_hooks.py', '--cfg-path', '/tmp/tmps_ckggc6']
[2024-02-10T03:23:13.948+0000] {standard_task_runner.py:88} INFO - Job 228: Subtask get_data
[2024-02-10T03:23:14.552+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_timezone_names', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.552+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_all_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.553+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_xact_all_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.553+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_xact_user_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.554+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_sys_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.554+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_xact_sys_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.555+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_user_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.555+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_statio_all_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.556+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_statio_sys_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.556+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_statio_user_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.557+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_all_indexes', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.557+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_sys_indexes', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.558+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_user_indexes', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.558+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_statio_all_indexes', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.559+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_statio_sys_indexes', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.559+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_statio_user_indexes', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
